F1,clean_pos,Salary,ex_1_duartion,schools.university_1.study_field,schools.university_2.study_field,clean_comp
159,Assurance Senior Manager,146514,10 yrs 6 mos,Accounting,"Business Administration, Accounting",Ernst & Young
161,Associate Scientist,134328,3 yrs 4 mos,Biotechnology,Biotechnology,Biogen
162,Senior Team Lead,82366,4 yrs 4 mos,Industrial Engineering; Quality Engineering and Reliability,Industrial Engineering,The MathWorks
163,Controller,127475,2 yrs 7 mos,Accounting/Business Administration,Economics and Mathematics,Copley Equity Partners LLC
164,Program Manager,88719,15 yrs 2 mos,Engineering,,MicroGroup
166,Senior Recruiter,73350,5 mos,Leadership/Human Resources,Business Administration & Management,Quickbase
168,Project Manager,93128,1 yr 5 mos,Urban & Regional Policy,Math and Economics,East Boston CDC
169,Technology Support Services Supervisor,40707,3 yrs 7 mos,Management Information Science and Marketing,,Harvard Law School
172,Operations Program Manager,106252,2 yrs 1 mo,Mechanical Engineering,Operations / Supply Chain Management,Raytheon Technologies
173,Controller,127475,2 yrs 1 mo,Accounting,Accounting,South Shore Bank
174,Project Manager,93128,2 yrs 1 mo,Architecture,,LEFTFIELD
175,Enterprise Account Executive,101661,3 yrs,Business - Marketing,,edX
177,Principle Software Engineer,167573,2 yrs,Information Technology,Information Technology,NETSCOUT
178,Customer Success Manager,80597,1 yr 7 mos,Management/Finance,Business,Saylent
180,Director of Engineering,183064,1 mo,Computer Science,Computer Science,"NewStore, Inc. (We are hiring!)"
181,Director,98219,4 mos,Organizational Leadership,Counseling and Applied Educational Psychology. Concentration in College Student Development.,Northeastern University
182,Postdoc Associate,67650,6 yrs 10 mos,Mechanical Engineering,Engineering Mechanics,Massachusetts Institute of Technology (MIT)
186,Research Assistant,26520,7 yrs 7 mos,,,Pfizer
187,Senior FP&A Analyst,92023,9 mos,,Accounting and Finance,Definitive Healthcare
188,Diversity,75795,10 mos,Economics,,SmartBear
189,Investment Reporting Analyst,72342,6 yrs,"Business Administration, Concentrations in Finance and Marketing, Minor in International Affairs",,"Starpoint Solutions onsite at Wellington Management Co, LLP"
190,Financial & Operations Project Manager,66221,11 mos,"General Management, Marketing, International Business","Finance, General","Greater Lynn Senior Services, Inc."
194,General Manager,74308,4 yrs 6 mos,Exercise Science,Educational Psychology,Row and Ride
196,Director of Engineering,164470,3 mos,High Tech,Computer Science,Nasuni
197,Sales & Deputy General Manager,74703,6 yrs 6 mos,"Marketing, Art",,LEVO- a 20 yr garden tool manufacturer (OEM/ODM)
199,Principal Product Manager,163438,1 yr,Strategic Analytics,Criminal Justice,Cambridge Mobile Telematics
200,Senior Research Engineer,119444,5 mos,Chemical Engineering,Chemical Engineering,a battery start up
202,Graduate Student,36813,2 yrs 10 mos,Food And Food Industry Regulation,BIOTECHNOLOGY AND COMPLIANCES,Northeastern University
203,Administrative Coordinator,51085,7 mos,Speech-Language Pathology/Pathologist,Speech-Language Pathology/Pathologist,Stealth NewCo
205,Business Continuity Analyst,79960,6 mos,,,Wellington Management
206,Research,42561,2 yrs 7 mos,Nonprofit management,Pharmaceutical science,Seqirus
209,Staff Software Engineer,137667,5 mos,"Computer Science, Cognitive Psychology",,Robin
212,Senior Software Engineer,146895,1 yr 4 mos,Engineering Management,Supply Chain Management,TraceLink
213,Vice President,118037,2 yrs 1 mo,Finance,,BlackRock
215,Senior software QA engineer,112528,1 yr 10 mos,Information Systems,Information Technology,"AMADEUS NORTH AMERICA, INC."
216,Sr. Director of Programs,96057,4 yrs 6 mos,Nonprofit Management - Leadership concentration,"Economics, Dance",Philanthropy Massachusetts
217,Lead Data Informatics Analyst,132872,9 mos,Data Science,Project Management,UKG (Ultimate Kronos Group)
218,Senior Director Clinical Operations,259840,1 yr 4 mos,,,Editas Medicine
219,Senior HR Associate,67080,2 yrs 7 mos,Organizational Communication,,Bain Capital
220,Senior Financial Analyst,83362,1 yr 4 mos,Engineering,,Boston Scientific
221,Consultant,182856,7 mos,,Civl Engineering,EY-Parthenon
222,Software Development Engineer,159384,1 yr 11 mos,Computer Science,Computer Engineering,AWS
223,Director Of Technology Operations,121100,1 yr 2 mos,Dual major in Computer and Information Science,,PowerAdvocate
224,Vulnerability Management Program Manager,65597,1 yr 3 mos,Cyber Security,Dual Major in Computer Science and Biology,Epiq
226,Associate Director,136075,4 yrs 4 mos,Applied Educational Psychology: College Student Development & Counseling,Sociology & Communication Studies,Harvard T.H. Chan School of Public Health
227,Math intervention Coordinator,60764,6 yrs 6 mos,Health Science,High School/Secondary Diplomas and Certificates,Boston Public Schools
228,Senior Associate Scientist,115986,2 yrs,Pharmaceutical Science,Behavioral Neuroscience,"Jounce Therapeutics, Inc."
229,Software Application Developer,103114,6 yrs 9 mos,Computer Engineering,Computer Engineering,MITRE
230,External Programs Manager,79597,4 yrs 7 mos,Industrial Engineering,,InfinityQS International
231,Associate Partner,230684,1 yr 1 mo,,Chemistry (focus on Organic Chemistry),Bain & Company
232,Associate Director of Workplace Experience,112734,8 mos,"Marketing, International Affairs",,Tinder
233,Global Equity Sales,154908,2 yrs 10 mos,"Economics, Business Administration",,New Street Research
234,Senior Software Engineer,128383,5 mos,Computer Engineering,Computer Engineering,Man Numeric
235,Information Technology Help Desk Support,51687,2 yrs 2 mos,Computer Engineering,,Boston Dynamics
237,Senior Scientist,115960,9 mos,Biotechnology,Biochemistry,Pfizer
238,CMC Project Manager,90068,6 mos,Biology,,bluebird bio
240,Customer Service/Inside Sales Representative,50986,3 yrs 4 mos,Communication and Media Studies,"Study Abroad in London, England",Rhode Island Tile Distributors
242,Software Engineer,125509,6 mos,Computer Science,,WHOOP
243,Manager of Pharmacy Operations,141520,2 yrs,PharmD,,Injured Workers Pharmacy
244,Consultant,130855,10 mos,"Business Administration; Marketing, Minor in Psychology",Business Administration,Slalom
245,Clinical Research Pharmacist,54731,3 yrs 11 mos,Pharmacy,,Pfizer
246,Office Manager,53459,1 yr 4 mos,Project Leadership,Human Resources,Satellite Bio
248,Executive Director of Strategic Accounts,106684,1 yr 1 mo,"Business Management, Operations And Marketing","Biotechnology, Drug Discovery Pharmaceutical science",Schrödinger
252,Content Marketing Manager,81825,4 mos,"Business Management, Marketing",,Demostack
253,Process Engineer,89688,4 yrs 3 mos,Chemical Engineering,Chemical Engineering,BWT Pharma & Biotech
254,Customs & Trade Compliance Lead,72346,1 yr 5 mos,Finance and Management,,Bose Corporation
257,Manager,155356,2 mos,Information Technology,Accounting,Deloitte
